model,participant,sample_name,selection_category,current_action,history_length,tail_reason,changed,kendall_distance,novel_transition_fraction,target_appended_graph_valid,target_immediate_predecessor_ok,stage_backward_increase,actual_actions,augmented_actions,manual_review_status
A1-Legacy-Once,A,sample_001611,largest_order_perturbation,turn on air compressor,8,latest_node_not_atomic,True,0.7142857142857143,0.2857142857142857,True,True,0,move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> unlock crimper -> put lock on table -> turn on main switch -> turn on water pump -> turn on extractor fan,turn on water pump -> turn on main switch -> unlock crimper -> put lock on table -> turn on extractor fan -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground,pending_human_semantic_review
A1-Legacy-Once,A,sample_000958,most_empirically_atypical,grip sample from table,12,active_incomplete_atomic_prefix,True,0.45454545454545453,0.6363636363636364,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on water pump -> turn on extractor fan -> turn on air compressor -> turn on crimper -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,remove protection cover from crimper -> put protection cover on ground -> turn on air compressor -> turn on main switch -> move pedal to safe location -> turn on water pump -> unlock crimper -> put lock on table -> turn on crimper -> adjust parameters -> turn on extractor fan -> take plier from table,pending_human_semantic_review
A1-Legacy-Once,A,sample_000820,empirically_supported_example,turn on crimper,3,latest_node_not_atomic,True,0.6666666666666666,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch,turn on main switch -> unlock crimper -> put lock on table,pending_human_semantic_review
A1-Legacy-Once,A,sample_001222,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A1-Legacy-Once,D,sample_001747,largest_order_perturbation,turn on air compressor,5,latest_node_not_atomic,True,0.8,0.5,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on water pump -> turn on extractor fan,turn on extractor fan -> turn on main switch -> turn on water pump -> unlock crimper -> put lock on table,pending_human_semantic_review
A1-Legacy-Once,D,sample_000951,most_empirically_atypical,turn on air compressor,5,latest_node_not_atomic,True,0.4,0.75,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on water pump -> turn on extractor fan,turn on water pump -> unlock crimper -> put lock on table -> turn on extractor fan -> turn on main switch,pending_human_semantic_review
A1-Legacy-Once,D,sample_000207,empirically_supported_example,turn on water pump,3,latest_node_not_atomic,True,0.6666666666666666,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch,turn on main switch -> unlock crimper -> put lock on table,pending_human_semantic_review
A1-Legacy-Once,D,sample_001222,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A1-Legacy-Once,J,sample_000438,largest_order_perturbation,turn on crimper,6,atomic_sequence_complete,True,0.9333333333333333,0.2,True,True,0,turn on main switch -> turn on water pump -> turn on air compressor -> turn on extractor fan -> unlock crimper -> put lock on table,unlock crimper -> put lock on table -> turn on extractor fan -> turn on air compressor -> turn on water pump -> turn on main switch,pending_human_semantic_review
A1-Legacy-Once,J,sample_001830,most_empirically_atypical,take plier from table,11,latest_node_not_atomic,True,0.2909090909090909,0.6,True,True,0,unlock crimper -> put lock on table -> turn on water pump -> turn on main switch -> turn on crimper -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters,unlock crimper -> put lock on table -> remove protection cover from crimper -> put protection cover on ground -> turn on main switch -> turn on extractor fan -> turn on water pump -> turn on crimper -> adjust parameters -> move pedal to safe location -> turn on air compressor,pending_human_semantic_review
